playerid,firstname,surname,playerjerseyname,commonname,overallrating,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,firstnameid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,gkglovetypecode,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode,lastnameid,playerjerseynameid,commonnameid,role3
75916,,,,,54,0,1,2150301,0,5,36,12,1,21,0,0,0,7,0,1084,13,-1,26,10,0,0,0,5,55,0,6,31,10,64,56,0,35,35,224001,47,2026,7,13,11,0,0,1037,56,28,0,190,0,0,-1,34,250,153731,0,0,0,11,55,41,0,0,70,0,2,0,0,27,0,75916,54,26,1,18,11,0,0,0,0,0,22,24,54,11,0,0,1,56,3,0,0,0,161489,1,0,25,1,0,1,32,2,1,25,2633,0,55,0,0,0,56,7,0,128,500,3,0,0,7,0,0,0,30,0,5,0,55,7,0,-1,8,0,0,0,9759,45197,0,0
75917,,,,,56,0,41,2150101,0,6,0,41,1,56,0,0,0,58,0,1073,11,-1,41,57,0,0,0,48,7,0,14,31,29,72,5,0,48,48,223101,46,2025,63,55,11,0,0,3507,56,60,0,177,3,0,-1,52,173,155028,25,0,0,59,49,56,0,1,73,0,2,0,0,72,0,75917,11,17,1,53,32,2,0,0,0,0,30,59,43,49,0,0,0,13,4,0,0,0,161491,1,0,45,2,0,2,49,3,0,58,8625,0,10,0,2,0,56,2,0,0,503,3,0,0,1,0,0,0,30,0,2,0,60,15,0,-1,31,0,0,0,45198,40746,45199,0
75919,,,,,54,0,18,60201,0,1,0,50,1,68,0,0,0,52,0,1075,47,-1,54,42,0,0,0,41,14,0,45,31,43,73,7,0,56,53,223101,55,2027,47,50,45,0,1,4024,55,58,0,181,3,0,-1,54,43,154881,14,0,0,56,54,49,0,1,75,0,2,0,0,71,0,75919,5,47,1,58,39,1,0,0,0,0,54,56,52,48,0,0,0,7,6,0,0,16,161490,1,0,17,1,0,3,48,4,0,57,30793,0,13,0,1,0,46,3,0,0,502,3,0,0,3,0,0,0,30,0,1,0,57,50,0,-1,38,0,0,1,45200,45200,0,0
75920,,,,,50,0,43,2150301,0,6,0,45,1,60,0,0,0,55,0,104,12,-1,35,50,0,0,0,40,5,0,19,31,30,68,7,0,52,52,223101,45,2026,55,40,18,0,0,11,46,60,0,177,4,0,18,50,29,155190,25,0,0,45,48,45,0,2,70,0,2,0,0,59,0,75920,14,19,1,50,26,1,0,0,0,0,40,65,41,46,0,0,0,6,9,0,0,0,161488,1,0,37,1,0,2,48,4,0,52,8625,0,8,0,1,0,49,3,0,0,501,1,0,0,3,2,0,0,30,0,1,0,62,16,0,-1,36,0,0,20,45201,45201,0,0
75923,,,,,61,0,41,60201,0,0,0,34,1,65,0,0,0,65,0,1078,18,-1,51,63,0,0,0,58,7,0,17,31,21,61,12,0,56,56,224001,46,2025,63,59,21,0,0,1530,59,68,0,172,4,0,-1,67,381,150978,25,0,0,56,66,61,0,2,78,0,2,0,0,69,0,75923,12,22,1,53,42,1,0,0,0,0,59,67,43,64,0,0,0,14,9,0,0,0,161517,1,0,55,1,0,3,71,3,0,68,13814,0,10,0,2,0,61,4,0,0,501,4,0,0,4,2,0,0,30,0,2,0,68,17,0,-1,44,0,0,0,36567,36567,0,0
75928,,,,,63,0,14,120102,0,2,0,40,1,64,0,0,0,40,0,505,66,-1,62,49,0,0,0,42,11,0,60,31,44,74,13,0,59,58,122101,52,2027,40,52,64,0,0,5500,57,67,0,167,3,0,-1,56,362,153193,10,0,1,61,60,53,0,0,55,0,2,0,0,70,1,75928,5,62,1,63,45,1,0,0,0,0,62,65,55,51,0,0,1,9,1,0,0,0,161503,1,0,21,1,0,4,58,3,0,68,22650,0,10,0,1,0,43,2,0,0,501,3,0,0,2,0,0,0,30,0,8,0,66,62,0,-1,38,0,0,5,45202,45202,0,0
75929,,,,,59,3,11,70000,0,0,27,31,1,50,0,0,0,39,0,1082,58,-1,45,33,0,0,0,40,14,0,58,31,42,66,7,0,55,45,220001,34,2026,29,37,56,0,0,1024,44,66,0,193,3,0,3,70,106,153460,5,0,0,47,65,50,0,0,82,0,2,0,0,60,0,75929,11,58,1,52,26,1,0,0,0,0,60,58,43,63,0,0,0,15,9,0,0,6,161446,1,0,117,1,0,2,68,3,0,57,25983,0,9,0,1,0,36,10,0,0,502,2,0,0,10,2,0,0,30,0,4,0,62,58,0,-1,27,0,0,0,38057,38057,0,0
75931,,,,,55,0,3,2150301,0,0,0,36,0,61,0,0,0,43,0,1083,59,-1,47,32,0,0,0,30,12,0,51,31,51,75,9,0,47,41,224001,34,2026,22,52,51,0,0,42,52,63,0,175,4,0,-1,57,160,154720,3,0,0,48,56,27,0,0,62,0,2,0,0,69,0,75931,5,51,1,52,31,1,0,0,0,0,45,60,46,57,0,0,2,14,9,0,0,0,161488,1,0,45,1,0,3,60,4,0,62,18523,0,13,0,1,0,27,4,0,0,501,3,0,0,4,0,0,0,30,0,2,0,62,42,0,-1,29,0,0,0,45203,45204,45204,0
75933,,,,,58,0,11,120102,0,5,0,41,1,66,0,0,0,30,0,503,62,-1,52,40,0,0,0,33,8,0,62,31,38,81,5,0,56,52,122101,38,2027,35,23,59,0,0,7008,40,70,0,166,3,0,-1,57,362,155059,5,0,1,48,58,37,0,0,56,0,2,0,0,67,1,75933,7,60,1,50,35,1,0,0,0,0,55,68,44,57,0,0,0,7,1,0,0,0,160967,1,0,21,1,0,2,63,2,0,63,24165,0,8,0,1,0,35,2,0,0,501,3,0,0,2,0,0,0,30,0,8,0,69,58,0,-1,30,0,0,6,45205,45205,0,0
75934,,,,,59,0,31,2150301,0,0,29,52,1,59,0,0,0,55,0,688,36,-1,57,42,0,0,0,33,11,0,29,31,55,76,14,0,52,65,223101,64,2025,40,66,38,0,0,1541,65,69,0,175,4,0,-1,51,441,154258,18,0,0,65,49,48,0,1,63,0,2,0,0,79,0,75934,12,35,1,65,50,1,0,0,0,0,43,63,60,42,0,0,0,14,9,0,0,0,161488,1,0,45,1,0,3,46,3,0,52,22767,0,12,0,1,0,41,3,0,0,500,3,0,0,3,0,0,0,30,0,2,0,66,34,0,-1,44,0,0,0,45206,21073,45207,0
75936,,,,,65,0,27,60201,0,3,0,59,1,74,0,0,0,62,0,1083,27,-1,58,54,0,0,0,60,13,0,32,31,61,80,13,0,63,59,223101,57,2027,63,65,21,0,0,1,66,75,0,181,3,0,25,61,102,154306,16,0,0,65,60,63,0,1,68,0,2,0,0,74,0,75936,8,30,1,62,52,2,0,0,0,0,51,78,60,56,0,0,1,9,6,0,0,0,161577,1,0,45,2,0,3,71,4,0,63,45212,0,6,0,2,0,62,3,0,0,501,3,0,0,3,0,0,0,30,0,2,0,76,27,0,-1,59,0,0,3,45213,45213,45213,0
75938,,,,,56,0,18,60201,0,3,0,36,1,57,0,0,0,53,0,1063,53,-1,56,36,0,0,0,54,15,0,55,31,48,68,12,0,54,45,223101,56,2027,53,53,49,0,0,34,55,65,0,178,3,0,-1,56,106,154364,14,0,0,56,56,52,0,0,67,0,2,0,0,72,0,75938,8,51,1,58,33,1,0,0,0,0,55,63,53,47,0,0,0,9,9,0,0,0,161499,1,0,52,1,0,3,53,2,0,58,10953,0,9,0,1,0,51,3,0,0,503,3,0,0,3,2,0,0,30,0,2,0,64,47,0,-1,39,0,0,3,32278,32278,0,0
75943,,,,,58,0,12,60201,0,20,0,26,1,53,0,0,0,22,0,227,58,-1,34,37,0,0,0,20,8,0,59,31,28,75,14,0,55,45,223101,30,2029,15,23,56,0,0,57,36,62,0,191,3,0,-1,64,362,154869,5,0,0,44,60,31,0,1,80,0,2,0,0,47,0,75943,9,59,1,45,21,1,0,0,0,0,60,68,35,58,0,0,0,12,3,0,0,0,161611,1,0,47,1,0,2,67,2,0,50,8787,0,6,0,1,0,21,2,0,0,501,3,0,0,2,0,0,0,30,0,5,0,65,62,0,-1,25,0,0,20,45237,45237,0,0
75946,,,,,60,0,31,2150301,0,3,37,57,1,71,0,0,0,57,0,2,37,14,61,57,0,0,0,49,7,0,32,31,52,75,12,0,58,58,224001,61,2026,57,60,42,0,0,1519,62,69,0,178,0,0,16,48,69,154423,18,0,0,61,49,53,0,1,74,0,2,0,0,72,0,75946,11,39,1,63,51,2,0,0,0,0,41,65,59,51,0,0,0,6,3,0,0,0,160967,1,0,129,1,0,3,51,4,0,56,31191,0,11,0,2,0,54,5,0,0,502,3,0,0,5,0,0,0,30,0,1,0,67,42,0,-1,46,0,0,3,45208,45208,0,0
75949,,,,,57,0,18,60201,0,0,0,44,1,69,0,0,0,55,0,36,42,-1,59,46,0,0,0,48,5,0,42,31,39,68,6,0,57,59,223101,58,2025,53,60,48,0,0,2021,61,64,0,181,3,0,-1,48,109,153886,14,0,0,61,48,50,0,0,70,0,2,0,0,69,0,75949,8,42,1,65,43,1,0,0,0,0,43,66,55,34,0,0,0,8,3,3,0,0,161492,1,0,1,1,0,4,41,2,0,54,9617,0,10,0,1,0,50,2,0,0,502,3,0,0,2,2,0,0,30,0,1,0,65,41,0,-1,39,0,0,0,45209,45209,0,0
75950,,,,,58,0,31,60201,0,20,0,50,1,55,0,0,0,52,0,63,50,-1,66,53,0,0,0,42,14,0,38,31,55,74,5,0,50,67,224001,61,2026,43,57,58,0,0,1503,57,76,0,174,3,0,-1,54,103,154022,18,0,0,55,56,55,0,0,72,0,2,0,0,79,0,75950,7,46,1,68,50,1,0,0,0,0,59,72,62,53,0,0,0,10,9,0,0,0,161525,1,0,52,1,0,3,60,3,0,55,24595,0,5,0,2,0,47,4,0,0,503,3,0,0,4,0,0,0,30,0,2,0,74,40,0,-1,51,0,0,0,33876,33876,0,0
75951,,,,,57,0,18,60201,0,0,0,51,1,75,0,0,0,51,0,136,47,-1,57,40,0,0,0,43,5,0,49,31,55,75,9,0,57,56,223101,54,2026,44,67,42,0,0,1508,66,62,0,180,3,0,18,37,371,154750,14,0,0,65,41,52,0,1,61,0,2,0,0,70,0,75951,11,45,1,61,43,1,0,0,0,0,35,62,56,44,0,0,0,6,9,0,0,0,161492,1,0,48,1,0,3,36,4,0,54,10559,0,8,0,1,0,46,2,0,0,502,3,0,0,2,2,0,0,30,0,1,0,62,43,0,-1,45,0,0,0,45210,45210,0,0
75952,,,,,57,38,35,2150301,0,20,0,51,1,76,0,0,0,45,0,522,23,-1,52,45,0,0,0,41,12,0,31,31,56,77,7,0,55,41,223101,55,2027,55,59,22,0,0,68,60,68,0,178,3,0,27,39,102,155207,23,0,0,57,40,47,0,1,70,0,2,0,0,72,0,75952,13,27,1,58,38,2,0,0,0,0,31,69,55,31,0,0,0,15,3,0,0,0,161517,1,0,21,1,0,4,35,4,0,49,12138,0,9,0,1,0,49,2,0,0,501,3,0,0,2,0,0,0,30,0,1,0,68,29,0,-1,43,0,0,3,4934,4934,0,0
75959,,,,,64,23,38,2150301,0,0,0,49,1,71,0,0,0,67,0,555,33,16,59,58,0,0,0,59,13,0,32,31,37,67,15,0,61,48,224001,54,2025,67,68,35,0,0,1517,67,68,0,179,0,0,12,52,103,152418,27,0,0,71,51,68,0,1,73,0,2,0,0,56,0,75959,11,32,1,64,42,2,0,0,0,0,37,69,54,48,0,0,0,8,9,0,0,0,161341,1,0,56,2,0,3,54,2,0,59,45242,0,11,0,2,0,65,5,0,0,503,3,0,0,5,0,0,0,30,0,2,0,68,24,0,-1,58,0,0,0,40872,40872,0,0
75960,,,,,59,0,31,60201,0,21,244,46,1,68,0,0,0,58,0,69,39,-1,55,43,0,0,0,53,10,0,23,31,46,62,12,0,48,51,224001,62,2025,55,62,41,0,0,2504,61,62,0,167,3,0,-1,37,102,152076,18,0,0,60,43,58,0,0,64,0,2,0,0,65,0,75960,6,35,1,58,37,1,0,0,0,0,46,61,54,35,0,0,0,6,9,0,0,0,161354,1,0,56,1,0,3,34,3,0,55,45243,0,9,0,1,0,54,6,0,0,501,3,0,0,6,0,0,0,30,0,8,0,62,37,0,-1,45,0,0,0,2745,2745,0,0
75962,,,,,49,0,1,60201,1,18,0,10,1,21,0,0,0,6,0,698,12,-1,22,18,0,0,0,9,51,0,14,31,13,59,50,0,42,23,223101,37,2025,6,14,10,0,0,1524,50,30,0,188,3,0,-1,50,378,154641,0,0,0,17,48,36,0,0,84,0,2,0,0,32,0,75962,48,26,1,29,12,0,0,0,0,0,23,23,48,12,0,0,1,47,9,3,0,0,161068,1,0,25,1,0,2,42,4,0,22,17559,0,48,0,0,0,47,1,0,124,501,3,0,0,1,0,0,0,30,0,5,0,51,7,0,-1,7,0,0,13,15263,15263,0,0
75963,,,,,54,0,1,60201,0,1,0,14,1,28,0,0,0,8,0,1078,13,-1,19,17,0,0,0,9,57,0,7,31,11,76,58,0,36,34,223101,33,2025,7,11,13,0,0,2022,58,29,0,195,1,0,-1,61,220,154942,0,0,0,15,46,39,0,0,82,0,2,0,0,27,0,75963,52,26,1,26,11,0,0,0,0,0,21,24,52,13,0,0,1,59,6,3,0,0,161493,1,0,34,1,0,2,51,4,1,23,45211,0,46,0,0,0,59,1,0,28,501,3,0,0,1,0,0,0,30,0,4,0,57,5,0,-1,9,0,0,1,45212,45212,0,0
75964,,,,,68,0,35,2150301,0,0,0,48,1,81,0,0,0,70,0,1065,31,-1,47,57,0,0,0,60,6,0,27,31,51,76,12,0,53,68,224001,70,2027,68,75,37,0,0,2519,73,84,0,170,3,0,18,48,102,153143,23,0,0,72,52,65,0,1,70,0,2,0,0,75,0,75964,14,33,1,52,37,2,0,0,0,0,45,84,54,32,0,0,0,12,9,0,0,0,161487,1,0,52,1,0,2,53,2,0,67,25863,0,11,0,2,0,64,5,0,0,501,3,0,0,5,0,0,0,30,0,7,0,84,37,0,-1,46,0,0,0,35377,35377,0,0
75965,,,,,58,0,41,70000,0,21,260,46,1,59,0,0,0,56,0,71,21,-1,49,55,0,0,0,57,11,0,19,31,46,74,8,0,44,53,220001,46,2028,60,62,20,0,0,1019,59,74,0,185,3,0,-1,68,173,154429,25,0,0,59,60,63,0,0,78,0,2,0,0,60,0,75965,6,23,1,53,41,2,0,0,0,0,43,78,49,50,0,0,0,9,9,0,0,0,161494,1,0,18,2,0,2,70,2,0,56,18353,0,10,0,2,0,58,8,0,0,503,3,0,0,8,1,0,0,30,0,5,0,76,20,0,-1,38,0,0,21,45213,45213,0,0
75968,,,,,67,0,1,120102,0,18,0,11,1,33,0,0,0,4,0,503,14,-1,25,12,0,0,0,5,67,0,7,31,13,73,68,0,64,35,122101,39,2025,9,12,13,0,0,9532,68,28,0,170,3,0,-1,30,113,153017,0,0,1,12,66,48,0,0,64,0,2,0,0,45,1,75968,64,22,1,16,11,0,0,0,0,0,21,18,64,14,0,0,1,66,6,3,0,0,161494,1,0,95,1,0,2,36,4,0,22,14835,0,66,0,0,0,66,2,0,125,501,3,0,0,2,0,0,0,30,0,7,0,67,6,0,-1,7,0,0,18,45214,45214,0,0
75978,,,,,52,0,1,60201,0,0,27,13,1,35,0,0,0,7,0,1070,18,-1,28,12,0,0,0,9,52,0,12,31,15,65,49,0,44,34,223101,30,2027,10,12,17,0,0,55,49,35,0,190,3,0,-1,51,124,155170,0,0,0,16,47,41,0,2,79,0,2,0,0,48,0,75978,54,31,1,34,16,0,0,0,0,0,26,29,54,19,0,0,1,58,9,0,0,0,161192,1,0,39,1,0,2,47,4,1,27,560,0,47,0,0,0,58,3,0,28,503,2,0,0,3,0,0,0,30,0,4,0,52,10,0,-1,9,0,0,0,45215,45215,0,0
75998,,,,,51,0,1,60201,0,2,0,14,1,40,0,0,0,5,0,1078,18,-1,29,15,0,0,0,9,51,0,10,31,15,61,53,0,45,40,223101,33,2027,7,13,15,0,0,2020,53,30,0,192,3,0,-1,55,432,154639,0,0,0,16,52,40,0,2,80,0,2,0,0,55,0,75998,53,27,1,37,16,0,0,0,0,0,22,25,53,15,0,0,1,46,9,0,0,0,160984,1,0,37,1,0,2,48,3,0,18,8848,0,52,0,0,0,46,1,0,138,502,2,0,0,1,0,0,0,30,0,5,0,51,10,0,-1,10,0,0,2,45228,45228,0,0
76009,,,,,55,0,1,60302,0,21,0,14,1,24,0,0,0,6,0,510,10,-1,18,17,0,0,0,5,59,0,10,31,13,71,50,0,52,25,122101,24,2027,7,12,12,0,0,9536,50,33,0,175,3,0,-1,38,324,154610,0,0,1,10,49,40,0,0,68,0,2,0,0,44,1,76009,53,29,1,22,14,0,0,0,0,0,23,27,53,11,0,0,1,57,9,0,0,0,161497,1,0,51,1,0,2,35,3,0,26,37255,0,49,0,0,0,57,2,0,54,503,3,0,0,2,0,0,0,30,0,1,0,59,8,0,-1,9,0,0,21,45216,45216,0,0
76010,,,,,59,0,18,60302,0,3,0,50,1,61,0,0,0,54,0,744,61,-1,61,35,0,0,0,56,10,0,48,31,53,74,7,0,52,40,122101,55,2027,54,58,58,0,0,9517,59,66,0,168,3,0,-1,51,72,154965,14,0,1,63,53,54,0,1,59,0,2,0,0,65,1,76010,14,50,1,66,48,2,0,0,0,0,58,64,59,44,0,0,0,6,4,0,0,9,161497,1,0,47,1,0,3,47,4,0,55,45217,0,14,0,2,0,53,2,0,0,501,3,0,0,2,0,0,0,30,0,7,0,65,38,0,-1,50,0,0,0,45218,45218,0,0
76011,,,,,53,0,41,120102,0,3,0,34,1,58,0,0,0,56,0,723,11,-1,25,58,0,0,0,53,13,0,10,31,31,69,6,0,50,48,122101,48,2025,58,54,19,0,0,5502,54,65,0,168,3,0,-1,42,431,155274,25,0,1,52,44,49,0,1,59,0,2,0,0,66,1,76011,7,17,1,46,32,2,0,0,0,0,34,64,39,48,0,0,0,10,9,0,0,0,161497,1,0,47,1,0,3,41,4,0,58,31215,0,13,0,2,0,54,1,0,0,502,3,0,0,1,0,0,0,30,0,7,0,65,17,0,-1,43,0,0,21,45219,45219,0,0
76012,,,,,62,0,1,60201,0,3,0,14,1,32,0,0,0,5,0,1071,10,-1,29,10,0,0,0,7,62,0,12,31,14,77,62,0,58,33,223101,35,2029,6,14,12,0,0,1536,62,31,0,188,3,0,-1,40,75,154387,0,0,0,20,62,45,0,0,75,0,2,0,0,41,0,76012,60,33,1,25,12,0,0,0,0,0,22,35,60,11,0,0,1,62,9,3,0,0,161497,1,0,49,1,0,3,41,2,0,25,39049,0,62,0,0,0,62,1,0,1,502,3,0,0,1,2,0,0,30,0,5,0,62,7,0,-1,5,0,0,3,45220,45220,0,0
76016,,,,,59,0,41,60201,0,1,0,45,1,65,0,0,0,60,0,75,17,-1,32,58,0,0,0,54,7,0,15,31,39,69,6,0,58,57,223101,45,2028,60,58,14,0,0,12,58,70,0,180,3,0,-1,60,432,154487,25,0,0,56,55,58,0,2,72,0,2,0,0,63,0,76016,8,19,1,50,41,1,0,0,0,0,42,66,43,55,0,0,0,15,3,0,0,0,161517,1,0,24,1,0,3,64,4,0,55,45221,0,14,0,1,0,58,1,0,0,502,3,0,0,1,0,0,0,30,0,2,0,68,12,0,-1,55,0,0,5,2156,2156,0,0
76025,,,,,51,0,41,2150301,0,19,0,42,1,48,0,0,0,48,0,1073,15,-1,40,59,0,0,0,48,14,0,15,31,33,66,10,0,42,42,223101,38,2027,57,51,15,0,0,1,49,58,0,180,3,0,-1,51,75,155366,25,0,0,48,48,53,0,2,70,0,2,0,0,48,0,76025,8,19,1,51,33,1,0,0,0,0,42,53,42,53,0,0,0,7,9,0,0,0,161570,1,0,27,1,0,3,49,3,0,48,37048,0,9,0,1,0,54,1,0,0,502,3,0,0,1,0,0,0,30,0,2,0,56,15,0,-1,48,0,0,20,45222,45222,0,0
76027,,,,,56,0,22,60201,0,19,27,48,1,66,0,0,0,53,0,225,51,-1,57,50,0,0,0,50,13,0,48,31,40,71,9,0,53,48,223101,51,2027,48,59,38,0,0,1,60,68,0,180,3,0,-1,51,102,154689,14,0,0,61,53,51,0,0,75,0,2,0,0,61,0,76027,14,43,1,59,42,1,0,0,0,0,50,67,52,42,0,0,0,14,5,0,0,0,161629,1,0,33,1,0,3,46,4,0,59,34216,0,12,0,1,0,49,1,0,0,501,3,0,0,1,0,0,0,30,0,2,0,68,34,0,-1,40,0,0,19,45257,45257,0,0
76030,,,,,61,0,31,70000,0,6,0,51,1,73,0,0,0,57,0,672,15,-1,60,64,0,0,0,49,9,0,25,31,58,81,10,0,58,59,223101,59,2026,55,68,17,0,0,16,67,68,0,174,3,0,-1,43,74,155137,18,0,0,63,46,56,0,1,67,0,2,0,0,78,0,76030,15,22,1,62,57,2,0,0,0,0,41,72,60,22,0,0,0,7,3,0,0,8,161499,1,0,21,1,0,3,38,3,0,57,27567,0,10,0,2,0,54,3,0,0,501,3,0,0,3,0,0,0,30,0,2,0,70,30,0,-1,45,0,0,6,45223,45223,0,0
76031,,,,,60,0,14,60201,0,2,0,70,1,56,0,0,0,42,0,1064,63,-1,55,68,0,0,0,60,8,0,56,31,58,80,12,0,57,50,223101,44,2027,52,59,63,0,0,3514,58,55,0,188,3,0,-1,60,173,154946,10,0,0,62,61,60,0,1,78,0,2,0,0,46,0,76031,11,59,1,64,68,1,0,0,0,0,61,64,58,61,0,0,1,13,1,0,0,0,161499,1,0,21,1,0,2,67,3,0,61,27670,0,10,0,1,0,55,2,0,0,503,3,0,0,2,0,0,0,30,0,4,0,59,56,0,-1,38,0,0,5,45224,45224,0,0
76033,,,,,62,0,27,60201,0,15,16,58,1,66,0,0,0,55,0,1080,38,25,53,61,0,0,0,50,8,0,23,31,60,77,8,0,48,49,223101,58,2026,58,70,48,0,0,68,66,66,0,181,3,0,27,57,169,154349,16,0,0,67,56,63,0,0,69,0,2,0,0,67,0,76033,6,36,1,58,53,2,0,0,0,0,41,67,57,57,0,0,1,9,3,0,0,0,161499,1,0,10,1,0,3,63,4,0,63,27815,0,11,0,2,0,57,2,0,0,501,3,0,0,2,0,0,0,30,0,1,0,66,32,0,-1,55,0,0,5,45225,45225,0,0
76034,,,,,60,0,44,60201,0,0,257,46,1,63,0,0,0,58,0,1066,22,-1,38,55,0,0,0,52,15,0,18,31,49,77,14,0,48,52,220001,46,2027,60,62,18,0,0,1011,62,75,0,178,3,0,27,72,78,154792,25,0,0,65,59,60,0,1,72,0,2,0,0,70,0,76034,8,23,1,51,41,2,0,0,0,0,28,77,47,57,0,0,0,6,9,0,0,0,161500,1,0,103,1,0,3,77,2,0,56,4398,0,14,0,2,0,58,9,0,0,503,3,0,0,9,0,0,0,30,0,2,0,76,18,0,-1,52,0,0,0,45226,45226,0,0
76036,,,,,58,0,14,2150301,0,5,0,44,0,58,0,0,0,40,0,227,61,-1,60,40,0,0,0,35,8,0,52,31,51,70,8,0,48,41,224001,40,2027,25,55,58,0,0,4003,56,58,0,175,0,0,-1,60,245,154378,10,0,0,58,57,43,0,1,65,0,2,0,0,75,0,76036,14,59,1,63,33,2,0,0,0,0,48,57,53,60,0,0,1,7,9,0,0,0,161498,1,0,18,1,0,4,64,3,0,55,37388,0,6,0,1,0,33,4,0,0,500,3,0,0,4,0,0,0,30,0,2,0,58,60,0,-1,38,0,0,19,45258,45258,0,0
76037,,,,,52,0,3,60201,0,5,0,33,0,50,0,0,0,40,0,211,51,-1,41,35,0,0,0,27,5,0,51,0,42,67,6,0,45,38,223101,28,2027,25,58,47,0,0,8,54,58,0,172,3,0,-1,45,2,154630,3,0,0,51,43,22,0,0,63,0,2,0,0,70,0,76037,8,49,1,48,28,1,0,0,0,0,21,62,40,45,0,0,2,9,5,0,0,0,161498,1,0,18,1,0,2,44,4,0,56,18620,0,6,0,1,0,26,3,0,0,500,3,0,0,3,0,0,0,0,0,2,0,60,49,0,-1,22,0,0,3,45259,45259,0,0
76038,,,,,57,0,11,2150301,0,0,259,32,1,40,0,0,0,21,0,617,62,-1,42,30,0,0,0,23,10,0,48,0,38,69,6,0,45,41,224001,25,2027,20,38,59,0,0,2500,41,59,0,190,3,0,-1,69,2,154848,5,0,0,45,63,34,0,0,78,0,2,0,0,45,0,76038,9,57,1,51,23,1,0,0,0,0,56,61,40,59,0,0,0,11,9,0,0,0,161499,1,0,18,2,0,3,66,4,0,54,11327,0,14,0,1,0,24,4,0,0,500,3,0,0,4,0,0,0,0,0,5,0,60,56,0,-1,21,0,0,20,32003,32003,0,0
76040,,,,,59,0,41,60201,0,3,35,39,1,54,0,0,0,48,0,65,18,-1,58,43,0,0,0,59,9,0,11,31,35,71,7,0,50,42,223101,41,2028,65,64,15,0,0,510,60,69,0,181,3,0,-1,53,96,153950,25,0,0,61,53,58,0,0,70,0,2,0,0,65,0,76040,15,20,1,61,35,1,0,0,0,0,39,66,49,63,0,0,0,7,9,0,0,0,161520,1,0,18,1,0,2,62,2,0,61,3129,0,12,0,1,0,60,2,0,0,501,3,0,0,2,0,0,0,30,0,2,0,68,14,0,-1,48,0,0,3,45264,45264,0,0
76041,,,,,57,0,11,70102,0,20,0,39,1,62,0,0,0,28,0,503,60,-1,56,41,0,0,0,35,9,0,58,31,40,77,14,0,54,48,122101,33,2027,38,30,57,0,0,5500,42,66,0,170,3,0,-1,54,124,155050,5,0,1,47,55,40,0,1,60,0,2,0,0,62,1,76041,14,58,1,59,33,1,0,0,0,0,55,64,47,57,0,0,0,9,1,0,0,0,161635,1,0,21,1,0,2,58,3,0,57,22712,0,14,0,1,0,37,2,0,0,503,3,0,0,2,0,0,0,30,0,8,0,65,56,0,-1,37,0,0,20,45265,45265,0,0
76043,,,,,58,0,44,2150301,0,3,243,38,1,51,0,0,0,57,0,284,22,-1,49,55,0,0,0,53,6,0,25,31,22,67,6,0,51,45,223101,49,2025,58,58,18,0,0,2015,56,53,0,190,3,0,-1,62,441,153116,25,0,0,59,60,59,0,0,78,0,2,0,0,51,0,76043,14,28,1,57,45,2,0,0,0,0,54,49,46,67,0,0,0,10,9,0,0,0,161503,1,0,45,1,0,3,63,4,0,62,41663,0,6,0,2,0,57,2,0,0,500,4,0,0,2,0,0,0,30,0,5,0,51,25,0,-1,53,0,0,20,45227,45228,45228,0
