uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
35916,Noah James,Normal,N\A,245425,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,32,17,30,42,47,27,52,41,19,33,14,6,38,12,14,9,5,10,14,16,18,9,38,16,11,11,5,13,11,57,54,51,57,51
35917,William Kallenbach,Normal,N\A,71284,54,12,16,23,-1,0,0,0,0,26,27,0,0,0,1,4,69,68,62,74,37,46,44,56,55,40,38,52,42,57,46,55,53,38,37,39,49,33,56,39,25,29,41,42,50,10,10,10,10,10
35918,Min Woo Kang,Normal,N\A,71318,54,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,63,65,49,57,68,65,66,49,47,41,50,28,32,27,38,29,16,26,60,45,55,50,39,45,50,60,25,26,39,10,10,10,10,10
35919,Han Seo Kim,Normal,N\A,71206,54,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,1,4,70,68,72,72,51,62,57,52,53,35,51,40,57,58,35,57,42,31,42,55,60,50,45,55,50,45,32,45,42,10,10,10,10,10
35920,Tae Hun Kim,Normal,N\A,252428,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,31,27,38,36,47,21,51,35,23,24,9,10,30,10,13,10,6,13,15,25,26,10,41,25,11,13,10,12,15,56,56,55,58,51
35921,Yu Sung Kim,Normal,N\A,255322,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,17,24,25,32,46,22,56,35,17,34,12,5,32,18,14,13,8,12,12,18,19,5,39,18,12,11,8,10,12,59,58,52,53,52
35922,Ju Hwan Kim,Normal,N\A,255769,54,3,7,-1,-1,0,0,0,0,3,0,0,0,0,1,3,75,77,65,77,54,59,56,56,48,37,52,46,38,38,51,53,23,29,42,29,36,48,28,29,47,52,24,30,38,10,10,10,10,10
35923,Samba Koné,Normal,N\A,73513,54,10,-1,-1,-1,0,0,0,0,14,0,0,0,0,1,2,62,56,58,55,65,50,67,54,52,47,48,33,43,51,45,48,29,33,55,54,61,49,53,54,54,57,31,41,39,10,10,10,10,10
35924,Katia Kouyate,Normal,N\A,72697,54,25,27,-1,-1,0,0,0,0,41,38,0,0,0,1,4,77,79,74,61,74,54,73,49,33,44,18,46,44,52,32,52,55,32,51,35,41,14,54,35,25,24,42,37,54,10,10,10,10,10
35925,Lucie Kroupová,Normal,N\A,275821,54,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,2,3,62,61,66,59,41,48,43,55,54,42,49,51,49,59,36,58,42,37,48,54,58,32,46,54,53,45,32,30,45,10,10,10,10,10
35926,Jan Krzywański,Normal,N\A,276354,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,30,36,34,38,52,32,60,48,19,33,12,7,32,12,14,5,6,11,12,30,25,6,44,30,11,8,7,12,16,54,55,59,55,49
35927,Rohit Kumar,Normal,N\A,248308,54,10,14,-1,-1,0,0,0,0,14,18,0,0,0,1,3,33,52,65,51,58,60,69,50,61,46,52,43,47,56,45,53,41,36,49,52,54,50,52,52,50,49,39,42,40,10,10,10,10,10
35928,Bleon Kurtulus,Normal,N\A,71729,54,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,56,55,49,66,55,61,57,53,55,44,55,27,38,51,26,49,28,20,52,47,52,54,35,47,54,53,29,21,39,10,10,10,10,10
35929,Hugo Lambotte,Normal,N\A,73924,54,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,62,63,42,68,45,56,48,58,56,37,57,24,32,50,25,22,25,28,45,28,48,56,38,28,60,58,31,27,33,10,10,10,10,10
35931,Dong Won Lee,Normal,N\A,274432,54,7,14,-1,-1,0,0,0,0,8,9,22,0,0,1,3,75,72,68,70,57,61,64,56,38,50,46,54,53,57,47,57,41,42,38,43,46,40,48,43,49,47,46,49,42,10,10,10,10,10
35932,Shaowen Liang,Normal,N\A,253738,54,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,2,72,69,71,44,74,59,73,49,47,46,52,43,48,50,26,42,48,58,55,36,41,50,59,36,51,50,44,42,56,10,10,10,10,10
35933,Lei Liao,Normal,N\A,269124,54,7,3,-1,-1,0,0,0,0,9,5,0,0,0,1,4,68,67,65,62,57,54,62,51,46,43,50,45,38,55,50,52,30,26,45,29,43,42,25,29,50,51,28,29,33,10,10,10,10,10
35934,Yoo Seok Lim,Normal,N\A,274428,54,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,3,49,59,46,45,57,60,70,46,56,43,48,26,26,32,26,30,16,26,52,38,50,54,32,38,56,52,22,27,33,10,10,10,10,10
35935,Alex Lindelöv,Normal,N\A,70094,54,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,1,3,62,54,60,56,57,64,59,57,50,41,56,53,53,56,48,54,45,39,52,52,56,38,55,52,51,50,38,33,43,10,10,10,10,10
35936,Ben Lloyd,Normal,N\A,270065,54,18,-1,-1,-1,0,0,0,0,32,0,0,0,0,1,3,56,53,63,69,29,35,36,48,37,52,23,40,54,62,49,63,45,41,35,50,53,33,49,50,29,34,45,50,45,10,10,10,10,10
35937,Francely Lomboto,Normal,N\A,71137,54,27,16,25,-1,0,0,0,0,38,0,0,0,0,1,2,79,80,55,52,56,54,58,46,30,49,24,51,40,52,52,54,51,35,38,42,49,21,52,42,29,20,46,43,50,10,10,10,10,10
35939,Favian Loyola,Normal,N\A,272756,54,14,12,-1,-1,65536,0,0,0,22,23,0,0,0,2,3,66,69,57,72,38,52,45,54,42,55,24,47,62,60,41,62,41,52,32,58,60,37,47,58,41,38,35,60,40,10,10,10,10,10
35940,Sheng Ma,Normal,N\A,273646,54,5,-1,-1,-1,0,0,0,0,11,12,13,0,0,1,2,62,65,44,56,58,60,67,47,45,35,55,25,33,26,24,22,19,21,48,27,29,57,32,27,60,61,22,20,38,10,10,10,10,10
35941,Owen Mason,Normal,N\A,264851,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,30,27,43,47,53,30,62,48,23,44,15,5,30,18,10,10,5,11,12,24,23,13,37,24,12,10,6,10,14,56,53,49,54,52
35943,Abdullah Matuq,Normal,N\A,264458,54,23,12,25,-1,0,0,0,0,36,41,0,0,0,1,3,78,81,65,74,62,56,70,36,30,47,16,52,44,48,49,57,52,30,39,41,47,20,52,41,25,25,36,37,30,10,10,10,10,10
35944,Benjamin Mazzeo,Normal,N\A,279198,54,12,23,-1,-1,0,0,0,0,23,0,0,0,0,1,3,78,72,77,66,53,58,46,53,53,45,30,52,46,49,42,54,45,37,46,37,52,29,50,37,35,30,40,44,38,10,10,10,10,10
35945,Law McCabe,Normal,N\A,279251,54,18,14,-1,-1,0,0,0,0,31,18,0,0,0,2,3,73,71,71,77,50,61,53,48,41,51,39,44,55,55,50,53,43,48,40,52,54,36,51,52,43,37,40,53,44,10,10,10,10,10
35946,Ciaran McGuckin,Normal,N\A,273979,54,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,1,2,55,53,51,51,60,57,61,50,33,50,10,56,50,47,32,48,61,29,55,28,44,12,53,28,12,12,38,40,62,10,10,10,10,10
35947,Samik Mitra,Normal,N\A,258556,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,30,21,43,47,46,19,51,47,26,25,7,4,29,17,14,6,9,13,13,28,24,8,39,28,14,12,7,10,10,54,52,52,54,53
35948,Liam Möller,Normal,N\A,275331,54,18,23,-1,-1,0,0,0,0,31,35,0,0,0,1,4,74,72,70,75,39,51,42,56,48,51,29,52,53,58,49,50,46,45,35,51,52,36,54,51,34,32,48,56,48,10,10,10,10,10
35951,Mathias Bakken Myklebust,Normal,N\A,71860,54,7,-1,-1,-1,0,0,0,0,7,0,0,0,0,1,3,63,62,66,68,44,59,52,55,51,39,51,48,42,48,46,54,31,30,40,41,45,49,46,41,51,53,32,39,34,10,10,10,10,10
35952,Mamour Ndiaye,Normal,N\A,72672,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,16,22,38,23,46,22,57,45,24,31,9,8,32,17,12,10,8,11,13,19,29,6,41,19,10,13,5,13,16,54,53,55,56,55
35954,Alexander Nielsen,Normal,N\A,278586,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,25,15,29,29,52,18,63,38,27,25,12,10,32,11,10,10,12,14,13,18,25,11,40,18,11,10,12,10,16,57,56,53,55,54
35955,Ziyi Niu,Normal,N\A,261905,54,5,7,-1,-1,0,0,0,0,11,7,0,0,0,1,3,67,57,63,54,60,67,70,50,61,37,53,46,38,43,46,52,29,29,45,31,40,52,22,31,54,57,27,35,37,10,10,10,10,10
35956,Matthew O'Brien,Normal,N\A,261667,54,14,10,-1,-1,0,0,0,0,19,14,0,0,0,1,2,61,61,64,62,59,53,62,52,63,54,52,51,54,53,49,53,50,50,50,52,57,48,54,52,53,48,54,54,51,10,10,10,10,10
35957,Conor O'Keeffe,Normal,N\A,206473,54,3,5,-1,-1,0,0,0,0,3,0,0,0,0,1,2,56,55,57,53,52,62,58,50,49,50,53,39,42,42,53,33,20,23,49,39,41,55,36,39,57,51,33,30,33,10,10,10,10,10
35958,Hoo Sung Oh,Normal,N\A,252644,54,25,18,-1,-1,0,0,0,0,41,31,0,0,0,1,4,70,75,73,80,40,61,34,50,46,56,29,57,52,52,45,56,54,42,45,61,55,42,58,61,43,45,38,45,39,10,10,10,10,10
35959,Nicolas Ortegel,Normal,N\A,274989,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,23,22,32,22,43,25,50,40,28,23,10,6,30,14,14,8,5,12,11,15,20,9,39,15,12,13,6,11,15,56,55,52,56,50
35960,William Osnes-Ringen,Normal,N\A,71070,54,18,14,-1,-1,0,0,0,0,31,0,0,0,0,1,3,60,63,68,68,49,58,54,48,48,57,38,51,50,58,48,58,45,54,45,52,55,36,54,52,38,36,45,53,38,10,10,10,10,10
35961,Sander Østraat,Normal,N\A,273615,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,46,48,45,42,51,21,52,42,15,35,13,5,30,20,12,6,5,11,10,20,22,7,39,20,10,11,7,10,16,55,53,52,56,53
35962,Sahil Panwar,Normal,N\A,248305,54,7,5,-1,-1,0,0,0,0,9,12,0,0,0,1,2,66,57,54,48,72,62,72,48,82,39,52,45,39,43,47,43,28,26,45,40,45,52,53,40,56,50,34,40,34,10,10,10,10,10
35963,Kyung Bae Park,Normal,N\A,255497,54,25,27,-1,-1,0,0,0,0,41,0,0,0,0,1,3,61,53,56,62,59,55,60,55,51,49,23,56,43,49,34,55,57,35,51,36,49,22,52,36,22,25,38,40,59,10,10,10,10,10
35964,Harry Politidis,Normal,N\A,278233,54,7,16,-1,-1,0,0,0,0,7,27,0,0,0,1,3,75,72,70,74,54,54,58,47,55,53,47,45,44,50,49,52,38,33,39,39,50,44,52,39,51,50,31,45,36,10,10,10,10,10
35965,Nicolas Popescu,Normal,N\A,248679,54,14,5,-1,-1,0,0,0,0,18,0,0,0,0,2,2,66,72,73,53,49,57,55,52,55,51,48,54,57,55,34,58,33,44,44,54,59,51,55,54,57,52,39,48,38,10,10,10,10,10
35966,Leander Popp,Normal,N\A,70092,54,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,1,3,70,70,58,64,62,56,55,51,39,51,21,55,42,54,31,46,54,38,56,26,51,14,52,26,14,12,39,31,59,10,10,10,10,10
35967,Yumiao Qian,Normal,N\A,241622,54,3,-1,-1,-1,0,0,0,0,3,0,0,0,0,1,2,71,76,72,73,64,63,60,50,64,40,50,38,38,50,40,46,20,25,50,38,43,55,35,38,50,45,25,32,30,10,10,10,10,10
35968,Abdul Rabeeh,Normal,N\A,263058,54,23,3,12,-1,0,0,0,0,35,36,23,0,0,1,3,66,73,78,69,44,56,42,40,43,40,42,51,49,56,52,54,48,39,36,47,50,42,51,47,50,48,45,50,38,10,10,10,10,10
35969,Iustin Răducan,Normal,N\A,276344,54,25,-1,-1,-1,0,0,0,0,41,0,0,0,0,1,2,74,71,53,78,51,54,45,44,36,46,18,53,44,55,41,49,57,38,49,37,45,14,59,37,18,19,52,45,59,10,10,10,10,10
35970,Jeremy Rafanello,Normal,N\A,261333,54,25,27,-1,-1,0,0,0,0,41,0,0,0,0,1,3,59,65,60,58,59,58,61,48,36,48,23,52,48,57,51,56,56,37,54,39,43,29,51,39,26,21,55,39,58,10,10,10,10,10
35971,Brooklyn Raines,Normal,N\A,269005,54,14,23,-1,-1,65536,0,0,0,22,37,0,0,0,2,3,73,72,57,75,39,57,34,55,56,47,50,51,47,57,33,58,43,37,43,52,63,50,53,52,46,48,38,51,35,10,10,10,10,10
35972,Hmingthanmawia Ralte,Normal,N\A,254092,54,5,3,-1,-1,0,0,0,0,12,13,5,0,0,1,2,49,56,34,59,63,69,77,45,57,46,51,28,36,39,31,28,24,21,51,37,41,52,31,37,56,54,25,40,34,10,10,10,10,10
35973,Jayesh Rane,Normal,N\A,248252,54,10,14,27,-1,65536,0,0,0,14,22,0,0,0,2,4,62,69,81,68,52,72,68,50,43,51,49,51,49,55,50,59,46,39,37,55,58,54,56,55,43,49,48,53,42,10,10,10,10,10
35974,Sumit Rathi,Normal,N\A,254475,54,5,7,16,-1,0,0,0,0,11,7,0,0,0,1,3,64,72,68,62,72,60,72,54,65,45,50,42,36,46,45,45,32,22,49,44,47,50,34,44,50,52,22,33,34,10,10,10,10,10
35975,Magnus Rugland Ree,Normal,N\A,268413,54,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,27,16,23,49,42,22,47,47,25,39,9,4,28,14,14,11,5,12,14,27,17,5,43,27,14,13,5,14,17,55,54,57,53,52
35976,Justin Reynolds,Normal,N\A,277619,54,3,-1,-1,-1,0,0,0,0,6,0,0,0,0,2,2,62,57,57,72,46,50,54,50,53,36,50,53,31,55,42,49,28,27,44,49,49,45,20,49,59,57,28,31,36,10,10,10,10,10
35977,Ludvig Richtnér,Normal,N\A,71308,54,3,-1,-1,-1,0,0,0,0,3,0,0,0,0,1,3,66,61,55,57,57,59,55,47,48,51,51,52,33,53,50,51,32,38,50,48,52,46,41,48,50,48,26,41,39,10,10,10,10,10
35978,Brian Romero,Normal,N\A,271151,54,12,23,-1,-1,0,0,0,0,23,0,0,0,0,1,3,66,68,56,81,33,41,37,42,34,49,15,55,56,54,49,60,46,30,35,38,49,16,60,38,28,28,41,44,45,10,10,10,10,10
35979,Raul Rotund,Normal,N\A,72979,54,14,-1,-1,-1,0,0,0,0,18,0,0,0,0,2,3,64,64,65,70,44,55,54,55,42,57,30,50,55,56,55,50,45,52,38,60,64,39,55,60,40,47,44,50,45,10,10,10,10,10
35980,Stav Lemkin,Normal,N\A,277447,63,5,-1,-1,-1,0,0,0,0,12,0,0,0,0,1,3,60,70,44,48,75,55,76,64,58,53,63,25,34,45,24,34,17,28,66,41,52,66,45,41,60,61,24,27,31,10,10,10,10,10
35981,Maicol León,Normal,N\A,261574,63,14,3,-1,-1,0,0,0,0,18,0,0,0,0,1,3,65,65,68,67,58,74,61,62,45,62,55,56,61,63,52,66,45,41,48,64,66,58,57,64,64,58,38,31,48,10,10,10,10,10
35982,Dean Lewington,Normal,N\A,138830,63,5,-1,-1,-1,128,0,0,0,11,12,13,0,0,1,3,33,32,67,55,64,78,76,65,68,68,62,52,54,56,62,53,28,64,60,57,60,64,51,57,63,61,18,59,38,10,10,10,10,10
35983,Songyi Li,Normal,N\A,221850,63,5,3,10,-1,0,0,0,0,11,12,14,0,0,1,3,53,42,58,56,80,69,82,55,53,65,62,49,67,57,53,58,51,22,71,64,65,60,32,64,63,54,35,41,44,10,10,10,10,10
35984,Liangming Lin,Normal,N\A,241239,63,27,16,23,-1,65536,0,0,0,38,27,0,0,0,2,4,84,79,86,68,71,59,70,48,35,44,15,64,54,58,62,60,64,44,49,63,66,23,65,63,22,23,58,50,50,10,10,10,10,10
35985,Lucas Lissens,Normal,N\A,256082,63,5,-1,-1,-1,0,0,0,0,11,12,0,0,0,1,3,63,68,68,62,69,54,68,54,70,46,62,24,39,64,43,46,21,29,63,63,61,56,42,63,65,62,23,28,31,10,10,10,10,10
35986,Marcin Listkowski,Normal,N\A,228751,63,14,-1,-1,-1,0,0,0,0,22,0,0,0,0,2,3,81,79,83,84,66,80,59,63,63,61,52,59,65,65,52,69,58,32,49,63,64,43,65,63,51,44,52,52,63,10,10,10,10,10
35987,Wei Liu,Normal,N\A,233405,63,5,-1,-1,-1,0,0,0,0,11,13,0,0,0,1,2,50,52,42,57,76,65,71,62,68,44,58,27,25,48,29,25,21,20,62,37,42,63,36,37,66,65,28,26,37,10,10,10,10,10
35988,Lex-Tyger Lobinger,Normal,N\A,261653,63,25,-1,-1,-1,0,0,0,0,44,0,0,0,0,1,2,67,82,54,41,78,59,80,60,59,49,22,59,50,60,25,50,64,28,65,40,60,24,66,40,25,23,53,30,55,10,10,10,10,10
35989,Klaidi Lolos,Normal,N\A,251311,63,18,14,25,-1,0,0,0,0,31,21,0,0,0,2,3,70,68,72,72,68,74,69,62,64,58,51,62,60,63,43,64,64,42,56,59,62,49,60,59,52,44,48,43,56,10,10,10,10,10
35990,Irvyn Lomami,Normal,N\A,269854,63,3,-1,-1,-1,0,0,0,0,3,0,0,0,0,1,3,77,77,79,82,71,61,61,56,58,55,58,53,51,60,60,59,35,41,56,57,60,58,55,57,61,60,34,57,50,10,10,10,10,10
35991,Ariel López,Normal,N\A,276141,63,10,5,-1,-1,0,0,0,0,14,15,12,0,0,1,2,48,52,52,60,68,71,72,60,65,54,62,32,52,59,41,58,47,58,67,59,64,61,54,59,64,61,48,52,42,10,10,10,10,10
35992,Erik López,Normal,N\A,253556,63,25,16,-1,-1,0,0,0,0,41,30,0,0,0,1,3,62,65,72,58,70,67,66,60,58,61,22,64,52,60,35,57,67,43,67,40,58,21,64,40,18,20,58,43,63,10,10,10,10,10
35993,Luis Federico López Andúgar,Normal,N\A,264170,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,31,29,33,21,46,18,49,60,23,30,12,4,35,15,11,10,7,12,11,15,15,7,44,15,13,10,7,13,13,66,62,58,63,58
35994,Leonardo Loria,Normal,N\A,259057,63,0,-1,-1,-1,0,0,0,0,2,0,0,0,0,0,3,23,29,38,30,57,15,68,49,21,31,15,11,25,21,14,12,11,13,17,25,26,10,45,25,22,19,9,12,11,65,63,60,65,63
35995,Tomasz Loska,Normal,N\A,224761,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,36,38,35,48,58,23,62,57,17,52,22,11,38,24,19,17,16,21,16,28,28,21,44,28,16,13,20,11,27,65,60,59,67,61
35996,Andreas Lukse,Normal,N\A,181733,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,41,37,31,57,58,24,63,59,22,15,28,15,34,22,9,13,12,11,8,25,32,8,45,25,10,9,12,12,24,64,62,60,63,62
35997,Senwen Luo,Normal,N\A,221856,63,14,10,-1,-1,256,0,0,0,18,14,0,0,0,2,3,66,65,63,65,74,72,77,60,54,56,63,63,60,62,53,63,61,49,59,66,64,55,68,66,59,52,54,56,48,10,10,10,10,10
35998,Ismet Lushaku,Normal,N\A,251024,63,14,10,16,-1,0,0,0,0,18,14,0,0,0,1,3,69,67,68,76,51,79,58,60,41,62,56,63,63,64,48,60,48,60,36,64,67,55,46,64,50,42,45,63,40,10,10,10,10,10
35999,Ridwane M'Barki,Normal,N\A,72648,63,16,27,-1,-1,0,0,0,0,27,38,0,0,0,1,3,61,66,50,67,41,39,45,55,31,60,18,62,61,65,64,67,58,35,38,62,63,31,50,62,29,30,45,45,50,10,10,10,10,10
36000,Zhen Ma,Normal,N\A,250978,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,53,55,55,54,56,36,51,62,21,15,18,12,51,13,12,11,12,11,11,12,13,15,44,12,16,18,14,12,10,62,62,58,65,58
36001,Aimé Mabika,Normal,N\A,260679,63,5,-1,-1,-1,0,0,0,0,11,0,0,0,0,1,2,59,75,32,34,77,64,83,55,58,45,61,20,34,53,22,34,29,26,64,44,53,62,50,44,62,54,27,27,49,10,10,10,10,10
36002,Alex MacDonald,Normal,N\A,189163,63,12,14,23,-1,67108864,0,0,0,23,24,18,0,0,2,3,71,70,83,86,79,70,72,60,75,60,58,60,60,60,63,60,57,57,53,56,59,54,62,56,57,55,54,62,57,10,10,10,10,10
36003,Roman Macek,Normal,N\A,237317,63,14,12,-1,-1,65536,0,0,0,18,25,0,0,0,2,3,61,65,65,52,58,58,64,60,55,61,59,60,60,68,63,66,51,41,48,65,68,62,63,65,61,59,55,62,54,10,10,10,10,10
36004,Craig MacGillivray,Normal,N\A,223727,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,3,51,50,47,42,71,30,75,59,19,44,23,15,51,38,14,19,13,12,20,52,41,15,48,52,12,20,17,15,30,63,62,64,63,62
36005,Tim Maciejewski,Normal,N\A,256460,63,12,16,23,-1,0,0,0,0,23,26,27,0,0,1,3,79,75,73,69,58,70,58,64,38,51,49,49,52,62,58,66,64,41,40,45,62,44,71,45,45,48,53,46,63,10,10,10,10,10
36006,Paddy Madden,Normal,N\A,189808,63,25,-1,-1,-1,16,0,0,0,42,43,0,0,0,1,3,55,51,69,62,69,73,71,66,57,60,31,65,59,62,51,61,65,56,63,49,61,42,64,49,39,26,63,52,67,10,10,10,10,10
36007,Niilo Mäenpää,Normal,N\A,266113,63,14,18,-1,-1,0,0,0,0,18,31,0,0,0,1,2,68,76,67,61,69,73,65,68,59,67,58,57,65,63,56,57,48,42,61,63,66,53,54,63,58,53,37,58,41,10,10,10,10,10
36008,Laurence Maguire,Normal,N\A,223373,63,5,-1,-1,-1,16,0,0,0,11,13,0,0,0,1,2,60,63,52,57,74,71,74,55,58,56,64,42,44,55,44,54,34,31,68,55,56,61,42,55,61,58,40,27,37,10,10,10,10,10
36009,Jon Magunazelaia,Normal,N\A,264665,63,18,12,16,-1,0,0,0,0,31,0,0,0,0,2,3,77,73,70,80,66,58,54,55,52,58,41,57,61,64,58,66,63,49,58,61,63,39,71,61,48,54,62,56,59,10,10,10,10,10
36010,Brian Maher,Normal,N\A,242229,63,0,-1,-1,-1,536870912,0,0,0,1,0,0,0,0,0,3,50,47,51,52,46,37,40,60,31,36,15,10,62,26,13,24,10,11,7,36,40,20,45,36,17,15,12,14,16,63,59,60,64,65
36011,Ibrahim Mahnashi,Normal,N\A,242114,63,10,14,-1,-1,18432,0,0,0,14,18,0,0,0,1,3,69,70,69,49,70,70,76,63,65,46,64,49,57,65,54,56,42,46,52,57,61,55,49,57,63,60,38,39,48,10,10,10,10,10
36012,Moïse Mahop,Normal,N\A,277331,63,7,-1,-1,-1,0,0,0,0,9,0,0,0,0,1,2,67,66,58,57,74,64,78,58,57,56,56,50,46,63,52,58,44,36,57,44,58,57,60,44,66,67,37,51,38,10,10,10,10,10
36013,Gabriel Maioli da Silva,Normal,N\A,72957,63,23,12,27,-1,0,0,0,0,35,38,0,0,0,2,3,73,70,71,69,52,57,54,58,48,53,35,61,68,60,54,64,65,38,41,60,64,33,56,60,35,36,49,48,45,10,10,10,10,10
36014,Jordan Majchrzak,Normal,N\A,274865,63,25,-1,-1,-1,0,0,0,0,44,0,0,0,0,1,3,60,52,52,54,70,51,65,66,41,52,17,63,51,65,42,59,65,36,70,33,57,21,60,33,21,17,47,43,49,10,10,10,10,10
36015,Piotr Malarczyk,Normal,N\A,199684,63,5,-1,-1,-1,2048,0,0,0,11,13,0,0,0,1,3,36,43,49,59,65,62,81,60,60,58,63,29,42,50,33,48,25,34,59,52,50,66,28,52,62,61,29,35,27,10,10,10,10,10
36016,Josué Limberth Mamani,Normal,N\A,255491,63,10,14,-1,-1,0,0,0,0,16,0,0,0,0,2,3,63,68,60,54,47,54,43,62,61,67,63,50,59,66,40,65,50,35,50,63,65,61,53,63,68,65,38,36,50,10,10,10,10,10
36017,Rahil Məmmədov,Normal,N\A,71112,63,5,-1,-1,-1,0,0,0,0,11,12,13,0,0,1,2,55,55,55,47,63,66,77,57,62,55,64,26,26,57,22,30,17,26,47,30,45,68,40,30,67,63,27,26,34,10,10,10,10,10
36018,Liam Mandeville,Normal,N\A,226172,63,12,3,23,-1,65536,0,0,0,23,5,0,0,0,2,2,74,70,69,67,67,74,64,59,38,61,44,58,62,62,62,60,57,61,52,58,61,46,61,58,50,40,48,63,56,10,10,10,10,10
36019,Jovan Manev,Normal,N\A,270348,63,5,-1,-1,-1,16400,0,0,0,11,12,0,0,0,1,3,75,78,66,61,81,61,76,50,73,55,61,38,41,53,33,61,54,26,65,41,51,60,58,41,61,63,32,35,43,10,10,10,10,10
36020,Will Mannion,Normal,N\A,231681,63,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,0,2,36,39,32,54,48,18,49,55,18,33,14,9,24,19,13,14,13,11,12,24,21,10,44,24,11,11,13,13,22,65,59,59,63,63
36021,Elias Manoel,Normal,N\A,271195,63,25,16,-1,-1,393217,0,0,0,41,42,27,0,0,2,3,90,87,77,84,78,75,76,53,45,45,14,62,50,67,39,68,60,27,61,35,52,19,60,35,10,13,41,60,62,10,10,10,10,10
36022,Jérémy Manzorro,Normal,N\A,204035,63,18,10,25,-1,32,0,0,0,31,32,33,0,0,2,3,79,58,69,80,63,64,58,61,61,56,37,62,60,64,54,69,54,54,46,59,65,29,58,59,15,14,49,61,58,10,10,10,10,10
36023,Raimon Marchán Vidal,Normal,N\A,263708,63,10,14,-1,-1,0,0,0,0,15,20,0,0,0,1,3,58,55,62,67,38,74,44,52,51,45,62,48,61,59,34,51,31,31,40,64,66,65,32,64,68,65,28,35,38,10,10,10,10,10
36024,Gustavo Marins Silva,Normal,N\A,275016,63,5,-1,-1,-1,0,0,0,0,12,13,0,0,0,1,3,62,66,59,54,70,65,74,60,66,52,61,34,44,57,40,46,30,30,58,59,57,61,44,59,65,60,37,25,38,10,10,10,10,10
36025,Lucas Maronnier,Normal,N\A,277354,63,7,3,-1,-1,0,0,0,0,9,5,0,0,0,1,3,71,67,58,83,52,69,43,58,58,55,57,56,53,58,56,59,26,38,54,53,62,58,27,53,62,65,29,35,42,10,10,10,10,10
36026,Jack Marriott,Normal,N\A,214876,63,25,-1,-1,-1,33554432,0,0,0,42,0,0,0,0,1,4,78,74,76,79,75,68,64,62,50,67,22,64,58,61,41,60,63,35,60,45,56,20,66,45,25,15,62,48,64,10,10,10,10,10
36027,Fredy Martínez,Normal,N\A,71224,63,7,-1,-1,-1,0,0,0,0,7,0,0,0,0,1,3,72,72,65,70,48,66,40,60,55,44,60,58,45,60,66,66,28,44,49,55,55,55,25,55,61,60,25,41,50,10,10,10,10,10
36028,Jayson Martínez,Normal,N\A,272703,63,12,16,18,23,0,0,0,0,23,27,31,0,0,2,3,69,71,66,78,51,56,49,59,44,59,44,54,63,66,58,65,51,41,47,62,64,42,56,62,45,49,43,48,45,10,10,10,10,10
36029,Marcos Martinich,Normal,N\A,273846,63,7,-1,-1,-1,131072,0,0,0,10,0,0,0,0,1,3,73,76,68,68,66,64,60,50,51,45,57,52,47,57,58,53,25,25,54,56,64,62,23,56,57,62,22,42,33,10,10,10,10,10
